Sphere_evaluation_file Voltage	Sphere_evaluation_file Current	Sphere_evaluation_file Current density	Sphere_evaluation_file PD current	Sphere_evaluation_file Radiant flux	Sphere_evaluation_file Luminous flux	Sphere_evaluation_file Irradiance	Sphere_evaluation_file Luminance	Sphere_evaluation_file EQE	Sphere_evaluation_file P_eff
V	A	mA/cm^2	A	W	lm	W/m^2	cd/m^2	%	lm/W

2.459311	-4.988924e-11	-7.856573228346457e-07	7.7307049651e-12	2.973814893221709e-09	1.3237815290436859e-06	0.0004683173060191668	0.06635791304600001	2734.412013563573	10789.36726791804
2.469552	1.99407e-10	3.1402677165354333e-06	2.7426949599999996e-12	1.0550482984971364e-09	4.696504321714527e-07	0.00016614933834600574	0.023542421356009955	242.7106598994103	953.7095934480556
2.479466	9.159982e-11	1.4425168503937008e-06	1.3358203431999999e-12	5.138577205067751e-10	2.2874166126272324e-07	8.09224756703583e-05	0.011466257033390338	257.338742924315	1007.1461416448834
2.489398	7.807636e-11	1.2295489763779527e-06	4.547473508999995e-13	1.7493028784109653e-10	7.786950171046656e-08	2.7548076825369537e-05	0.0039034066498656863	102.77852062887384	400.6392567104772
2.499307	-6.768101e-11	-1.0658426771653543e-06	9.663381207000012e-13	3.7172686167675635e-10	1.6547269114116323e-07	5.853966325618211e-05	0.008294739131286491	251.94980322467794	978.2275583036851
2.509569	4.929679e-11	7.763274015748032e-07	1.0800249587000006e-12	4.1545943374281616e-10	1.8494006661586994e-07	6.542668247918365e-05	0.009270590796113422	386.6044898789963	1494.9037383906218
2.519478	5.381867e-11	8.475381102362206e-07	3.7374547900999994e-12	1.4377083031519397e-09	6.399899671641688e-07	0.0002264107564018803	0.0320811234026448	1225.4475539457435	4719.865624116096
2.529402	-1.279049e-10	-2.0142503937007875e-06	3.5385028237000008e-12	1.3611763020748028e-09	6.059220601005558e-07	0.0002143584727676855	0.03037338299005605	488.18463492405175	1872.8876429320128
2.539325	-3.022076e-12	-4.7591748031496066e-08	1.5916157277000007e-12	6.122560072707347e-10	2.7254325590957683e-07	9.641826886153302e-05	0.013661923270667266	9293.6129704101	35514.99595892367
2.549584	3.983285e-10	6.272889763779528e-06	1.20365939437e-11	4.630186056126935e-09	2.0611083733245333e-06	0.0007291631584451867	0.10331829475990396	533.2292584652441	2029.5049819328744
2.559482	-3.248129e-10	-5.115163779527559e-06	5.5706550487e-12	2.1428960261207533e-09	9.53901395983183e-07	0.0003374639411213785	0.04781673146235686	302.6388930980223	1147.4086926180464
2.569389	-1.460023e-09	-2.299248818897638e-05	1.35429445436e-11	5.209642634617398e-09	2.3190510977479457e-06	0.0008204161629318737	0.1162483292879596	163.6835912891677	618.1882699095908
 2.57932	1.644152e-10	2.5892157480314966e-06	1.35429445436e-11	5.209642634617398e-09	2.3190510977479457e-06	0.0008204161629318737	0.1162483292879596	1453.526243344803	5468.435917960734
2.589568	1.655628e-09	2.607288188976378e-05	3.4958702598999996e-12	1.344776587723134e-09	5.986217943745971e-07	0.00021177584058632034	0.03000743861960859	37.26012317971499	139.62476079443044
2.599474	-5.5363e-10	-8.718582677165354e-06	6.110667528000002e-13	2.350625742972928e-10	1.0463714292825565e-07	3.7017728235794145e-05	0.00524520268599844	19.47694248765192	72.70776241190576
2.609387	1.06687e-10	1.6801102362204724e-06	1.13828946269e-11	4.378723767401039e-09	1.949170964636072e-06	0.0006895627980159117	0.09770714770174134	1882.7512941210541	7001.642560360681
2.619643	-8.08693e-10	-1.273532283464567e-05	1.0061285138700001e-11	3.870332618498691e-09	1.7228627253504964e-06	0.0006095011997635734	0.0863628721286003	219.54397118473295	813.2515142393726
2.629571	-1.471773e-10	-2.3177527559055116e-06	3.4106051317000004e-12	1.3119771587889919e-09	5.840212628199381e-07	0.00020661057618724283	0.0292755498735635	408.9237662721977	1509.0475551607765
2.639498	8.14995e-11	1.283456692913386e-06	1.0231815395000001e-12	3.935931476328508e-10	1.752063788442691e-07	6.198317285556706e-05	0.008782664961983214	221.53864437886702	814.4672617387191
2.649412	6.789146e-11	1.0691568503937007e-06	6.679101716000007e-13	2.5692886025338786e-10	1.1437083063136177e-07	4.0461237835179195e-05	0.005733128516695176	173.60197093193722	635.8440738461687
2.659657	1.248167e-10	1.9656173228346457e-06	2.3163693187000004e-12	8.910511537110226e-10	3.966477743467866e-07	0.00014032301633244452	0.019882977623209376	327.4815596246945	1194.8315826254232
2.669565	3.364587e-10	5.298562204724409e-06	9.521272657000002e-13	3.662602900723296e-10	1.6303926916401552e-07	5.767878583816215e-05	0.008172757671037196	49.93614148557183	181.51810859001776
2.679477	1.071094e-10	1.6867622047244095e-06	3.5385028241e-12	1.3611763022286726e-09	6.059220601690504e-07	0.00021435847279191697	0.030373382993489514	582.9666389556455	2111.247480874157
2.689385	9.303659e-11	1.4651431496062993e-06	4.5190517994e-12	1.7383697353559844e-09	7.73828173218866e-07	0.00027375901344188735	0.0387901035815918	857.1272008931176	3092.699861308213
2.699632	4.409863e-11	6.944666141732284e-07	2.813749233700001e-12	1.0823811560191908e-09	4.818175418345829e-07	0.0001704537253573529	0.024152328646097624	1125.931668559795	4047.183936056065
2.709538	8.995163e-11	1.4165611023622047e-06	5.6417093219e-12	2.170228883450469e-09	9.660685055606945e-07	0.0003417683281024361	0.048426638748152666	1106.759888727695	3963.726136286578
2.719447	3.868925e-11	6.092795275590551e-07	2.3163693187000004e-12	8.910511537110226e-10	3.966477743467866e-07	0.00014032301633244452	0.019882977623209376	1056.4993527454683	3769.937164656499
2.729339	3.539543e-10	5.574083464566929e-06	1.3073986337000012e-12	5.029245774902607e-10	2.238748173940468e-07	7.9200720864608e-05	0.011222294117183616	65.17973289524922	231.73976965996744
2.739591	3.354019e-10	5.2819196850393704e-06	4.689582055999988e-13	1.8039685933012e-10	8.030292363624297e-08	2.840895422521575e-05	0.004025388107539864	24.672909354089462	87.39369624837772
