Spectrometer Wavelength	Spectrometer Intensity
nm	W/nm

333.7858436326515	     0.0
334.1572655158173	     0.0
334.52864458717664	     0.0
334.89998084349577	     0.0
335.2712742815408	     0.0
335.6425248980778	     0.0
336.01373268987294	     0.0
336.38489765369246	     0.0
336.7560197863023	     0.0
337.1270990844688	     0.0
337.4981355449579	     0.0
337.8691291645359	     0.0
338.2400799399688	     0.0
338.6109878680227	     0.0
338.98185294546386	     0.0
339.35267516905833	     0.0
339.72345453557233	     0.0
340.094191041772	     0.0
340.4648846844233	     0.0
340.83553546029253	     0.0
341.2061433661457	     0.0
341.576708398749	     0.0
341.9472305548686	     0.0
342.3177098312706	     0.0
342.6881462247211	     0.0
343.0585397319863	     0.0
343.4288903498323	     0.0
343.7991980750252	     0.0
344.1694629043311	     0.0
344.53968483451627	     0.0
